iter	Passed	Remaining
0	1	1872
1	4	2293
2	5	1961
3	8	2034
4	10	2025
5	11	1983
6	13	1948
7	15	1930
8	17	1903
9	19	1891
10	21	1950
11	23	1933
12	24	1893
13	26	1893
14	28	1896
15	30	1878
16	32	1875
17	34	1890
18	36	1906
19	38	1869
20	39	1857
21	41	1841
22	43	1829
23	44	1807
24	46	1799
25	47	1793
26	49	1782
27	51	1787
28	53	1783
29	55	1781
30	56	1777
31	58	1767
32	60	1760
33	61	1747
34	63	1737
35	64	1728
36	66	1723
37	67	1720
38	69	1713
39	70	1703
40	72	1705
41	74	1702
42	76	1696
43	77	1689
44	79	1682
45	81	1696
46	83	1696
47	85	1692
48	87	1688
49	88	1684
50	90	1682
51	92	1679
52	93	1668
53	95	1671
54	97	1671
55	98	1660
56	100	1655
57	101	1653
58	103	1651
59	105	1649
60	106	1638
61	107	1633
62	109	1629
63	111	1629
64	112	1625
65	114	1622
66	116	1618
67	117	1615
68	119	1614
69	121	1612
70	123	1614
71	125	1612
72	128	1629
73	129	1624
74	131	1618
75	132	1615
76	133	1605
77	135	1602
78	137	1599
79	138	1596
80	140	1590
81	142	1591
82	143	1588
83	145	1585
84	146	1581
85	148	1579
86	150	1579
87	152	1577
88	153	1573
89	155	1571
90	158	1578
91	159	1574
92	160	1569
93	162	1565
94	164	1563
95	165	1559
96	167	1557
97	168	1554
98	170	1548
99	171	1547
100	174	1549
101	175	1547
102	177	1543
103	179	1543
104	180	1538
105	181	1533
106	183	1533
107	185	1531
108	186	1527
109	188	1529
110	190	1523
111	191	1522
112	193	1519
113	195	1518
114	197	1517
115	198	1515
116	200	1510
117	201	1507
118	203	1509
119	205	1507
120	207	1504
121	208	1499
122	209	1495
123	211	1493
124	213	1491
125	214	1489
126	216	1487
127	218	1487
128	220	1485
129	221	1481
130	222	1479
131	224	1474
132	225	1470
133	227	1467
134	228	1465
135	230	1461
136	231	1456
137	232	1451
138	234	1452
139	235	1449
140	237	1447
141	239	1444
142	240	1438
143	241	1436
144	243	1434
145	244	1432
146	246	1429
147	247	1424
148	250	1430
149	252	1429
150	253	1425
151	255	1422
152	256	1421
153	258	1417
154	259	1416
155	261	1413
156	262	1410
157	265	1412
158	267	1414
159	268	1411
160	270	1407
161	271	1403
162	272	1401
163	274	1399
164	276	1397
165	277	1393
166	279	1392
167	281	1393
168	283	1391
169	284	1388
170	285	1385
171	287	1382
172	288	1379
173	290	1379
174	292	1377
175	293	1374
176	297	1383
177	298	1380
178	300	1378
179	302	1376
180	303	1374
181	305	1371
182	306	1369
183	308	1368
184	310	1369
185	312	1368
186	313	1364
187	315	1361
188	316	1357
189	318	1357
190	319	1354
191	321	1354
192	323	1353
193	325	1351
194	327	1349
195	328	1347
196	330	1346
197	332	1345
198	333	1342
199	334	1339
200	336	1338
201	338	1335
202	339	1332
203	341	1333
204	343	1331
205	345	1330
206	346	1327
207	348	1325
208	349	1322
209	351	1321
210	352	1319
211	354	1317
212	356	1317
213	358	1316
214	360	1315
215	363	1317
216	364	1315
217	365	1312
218	367	1311
219	369	1308
220	372	1313
